country,place,pop,year,source
AT,Innsbruck,132499,2025,"wikipedia(List_of_cities_and_towns_in_Austria, Statistik Austria 2025)"
AT,Klagenfurt am Wörthersee,105256,2025,"wikipedia(List_of_cities_and_towns_in_Austria, Statistik Austria 2025)"
US,New York City,8584629,2025,"wikipedia(List_of_United_States_cities_by_population, Census Bureau est. 2025-07-01)"
US,Los Angeles,3869089,2025,"wikipedia(List_of_United_States_cities_by_population, Census Bureau est. 2025-07-01)"
US,Chicago,2731585,2025,"wikipedia(List_of_United_States_cities_by_population, Census Bureau est. 2025-07-01)"
US,Houston,2397315,2025,"wikipedia(List_of_United_States_cities_by_population, Census Bureau est. 2025-07-01)"
US,"Phoenix, Arizona",1665481,2025,"wikipedia(List_of_United_States_cities_by_population, Census Bureau est. 2025-07-01)"
US,Philadelphia,1574281,2025,"wikipedia(List_of_United_States_cities_by_population, Census Bureau est. 2025-07-01)"
US,San Antonio,1548422,2025,"wikipedia(List_of_United_States_cities_by_population, Census Bureau est. 2025-07-01)"
US,San Diego,1406106,2025,"wikipedia(List_of_United_States_cities_by_population, Census Bureau est. 2025-07-01)"
US,Dallas,1329491,2025,"wikipedia(List_of_United_States_cities_by_population, Census Bureau est. 2025-07-01)"
US,"Fort Worth, Texas",1028117,2025,"wikipedia(List_of_United_States_cities_by_population, Census Bureau est. 2025-07-01)"
US,"Jacksonville, Florida",1017689,2025,"wikipedia(List_of_United_States_cities_by_population, Census Bureau est. 2025-07-01)"
US,"Austin, Texas",1002632,2025,"wikipedia(List_of_United_States_cities_by_population, Census Bureau est. 2025-07-01)"
US,"San Jose, California",989814,2025,"wikipedia(List_of_United_States_cities_by_population, Census Bureau est. 2025-07-01)"
US,"Charlotte, North Carolina",964784,2025,"wikipedia(List_of_United_States_cities_by_population, Census Bureau est. 2025-07-01)"
US,"Columbus, Ohio",938396,2025,"wikipedia(List_of_United_States_cities_by_population, Census Bureau est. 2025-07-01)"
US,Indianapolis,901116,2025,"wikipedia(List_of_United_States_cities_by_population, Census Bureau est. 2025-07-01)"
US,San Francisco,826079,2025,"wikipedia(List_of_United_States_cities_by_population, Census Bureau est. 2025-07-01)"
US,Seattle,784777,2025,"wikipedia(List_of_United_States_cities_by_population, Census Bureau est. 2025-07-01)"
US,Denver,740613,2025,"wikipedia(List_of_United_States_cities_by_population, Census Bureau est. 2025-07-01)"
US,"Nashville, Tennessee",721074,2025,"wikipedia(List_of_United_States_cities_by_population, Census Bureau est. 2025-07-01)"
US,Oklahoma City,719849,2025,"wikipedia(List_of_United_States_cities_by_population, Census Bureau est. 2025-07-01)"
US,"Washington, D.C.",693645,2025,"wikipedia(List_of_United_States_cities_by_population, Census Bureau est. 2025-07-01)"
US,"El Paso, Texas",683012,2025,"wikipedia(List_of_United_States_cities_by_population, Census Bureau est. 2025-07-01)"
US,Las Vegas,679817,2025,"wikipedia(List_of_United_States_cities_by_population, Census Bureau est. 2025-07-01)"
